 Sri Lanka,38.7,37.8,35.5,25.1,15.9,15.1,14.2,13.9,11.4,9.9,8.3,7.7,7.2,6.7
 Sudan,56.2,55.1,50.4,42.1,31.1,29.5,28.4,26.9,26.1,24.6,23.4,22.3,22,21.5
 Suriname,35.4,39.5,34.1,27,19.1,17.7,16.8,16.1,15.7,15.6,16,15.7,15.1,14.4
 Syrian Arab Republic,21.4,16.7,15.6,9.8,17.2,29.5,37,49.5,47.4,49.1,50.3,52.9,53.1,53.8
 Tajikistan,81.4,84.5,81.2,40.1,22.3,21.3,20.3,19.3,18.6,18.2,17.4,16.9,16.4,15.9
 Tanzania (United Republic of),90,92.8,95.1,88.2,78.5,77,76,74.8,73.9,73,72,70.9,69.7,68.5
 Thailand,28.1,14.9,16.7,6,2,1.1,1.2,0.6,0.3,0.1,0.2,0.1,0.1,0.1
 Timor-Leste,70.1,71.1,73.1,79.5,75.2,70.8,67.4,66.7,69.6,64.6,63.7,64.8,63.7,62.6
 Togo,79.9,79.1,76.4,75.8,69,66.5,66.8,66.9,66.9,66.7,65.5,64.3,63,61.6
 Trinidad and Tobago,8.5,6,2,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
 Tunisia,32.5,24,15.9,9,3.8,2.4,1.8,1.4,1.1,1,1,0.9,0.9,0.9
 Turkey,20.7,12.3,9.9,6.9,2.1,1.9,1.3,0.9,0.7,0.8,0.5,0.5,0.4,0.4
 Turkmenistan,71.7,73.4,67.2,54.6,30.4,26.4,23.9,22.4,20.9,19.6,18.5,17.4,15.8,14.5
 Uganda,85.9,85.3,85.8,78.2,68.8,66.7,64.7,69.7,69.4,68.7,68.1,67.3,66.4,65.5
 Ukraine,10.8,15.5,11.1,0.8,0.2,0.2,0.2,0.2,0,0.2,0.1,0.1,0.1,0.1
 United Arab Emirates,1,0.6,0.5,0.2,1,0.9,0.9,0.8,0.7,0.6,0.5,0.5,0.5,0.4
 Uruguay,0.7,0.7,0.6,1.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1
 Uzbekistan,61.4,63.7,81.3,77.6,61.1,58,54.7,51.4,48.3,45.5,43,40.9,39.1,37.2
 Venezuela (Bolivarian Republic of),18.4,17.5,19.4,23.6,10.6,10.1,9.6,9.6,10.2,11.2,13.3,15.6,17.7,18.8
 Viet Nam,83,80.5,74.8,55.2,19.5,17.6,15.3,14.3,13.1,11.3,9.6,8.2,7.1,6.2
 Yemen,27.8,25.7,21.4,30.4,27.9,34.1,36.7,39,43.3,66.8,80.3,84.1,84.7,85.1
 Zambia,66,65.3,68.3,72.4,76.8,75.6,73.4,72.2,71.4,71.1,69,67,65.3,64
 Zimbabwe,49.3,41.9,32.8,38.5,43.1,43.6,44.1,44.7,45,45.2,45.3,44.7,43.5,43.1
